datum,Total sales,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Day,Weekday Number
2017-07-09,313.43899999999996,35.49,24.249,22.1,110.6,63.0,1.0,37.0,20.0,2017,7,9,7
2017-07-16,272.972,27.67,36.152,14.15,111.0,41.0,5.0,25.0,13.0,2017,7,16,7
2017-07-23,314.526,41.83,27.196,21.5,117.0,43.0,8.0,31.0,25.0,2017,7,23,7
2017-07-30,237.47400000000002,29.635,21.789,12.2,100.75,52.0,1.0,7.0,13.1,2017,7,30,7
2017-08-06,258.183,41.66,17.361,13.25,112.912,41.0,2.0,13.0,17.0,2017,8,6,7
2017-08-13,265.67,20.01,26.372,22.0,103.788,66.0,5.0,12.0,10.5,2017,8,13,7
2017-08-20,290.849,35.82,24.529,24.15,115.85,56.0,0.0,20.0,14.5,2017,8,20,7
2017-08-27,348.879,40.65,27.929,12.55,170.75,60.0,2.0,23.0,12.0,2017,8,27,7
2017-09-03,316.74100000000004,55.86,27.681,27.7,124.4,48.0,3.0,16.0,14.1,2017,9,3,7
2017-09-10,352.53,38.17,32.36,24.8,182.7,44.0,1.0,8.0,21.5,2017,9,10,7
2017-09-17,353.063,27.0,24.063,24.65,152.95,73.0,3.0,30.0,18.4,2017,9,17,7
2017-09-24,393.31899999999996,39.98,30.489,11.1,219.75,48.0,7.0,19.0,18.0,2017,9,24,7
2017-10-01,545.418,20.67,27.098,17.6,323.05,42.0,13.0,98.0,4.0,2017,10,1,7
2017-10-08,496.674,32.66,22.364,23.5,305.15,48.0,4.0,49.0,12.0,2017,10,8,7
2017-10-15,398.079,33.67,17.809,14.5,222.6,41.0,3.0,52.0,13.5,2017,10,15,7
2017-10-22,476.192,29.5,22.792,23.0,268.9,73.0,5.0,44.0,10.0,2017,10,22,7
2017-10-29,457.538,31.98,14.858,30.4,244.8,48.0,2.0,73.0,12.5,2017,10,29,7
2017-11-05,388.959,29.5,31.459,21.05,221.75,35.0,3.0,35.0,12.2,2017,11,5,7
2017-11-12,384.026,40.52,25.356,27.45,184.2,44.0,3.0,51.0,8.5,2017,11,12,7
2017-11-19,398.40099999999995,35.32,28.181,22.9,191.1,40.0,3.0,69.0,8.9,2017,11,19,7
2017-11-26,396.118,45.99,31.004,20.5,203.624,64.0,3.0,21.0,7.0,2017,11,26,7
2017-12-03,406.371,38.34,26.156,27.55,218.825,35.0,3.0,40.0,17.5,2017,12,3,7
2017-12-10,420.176,27.01,20.066,29.5,215.6,50.0,1.0,64.0,13.0,2017,12,10,7
2017-12-17,432.656,38.51,28.746,24.4,240.0,53.0,2.0,34.0,12.0,2017,12,17,7
2017-12-24,312.69,24.33,21.46,22.6,168.7,38.0,0.0,32.0,5.6,2017,12,24,7
2017-12-31,560.938,50.17,34.038,29.65,302.08,68.0,3.0,63.0,11.0,2017,12,31,7
2018-01-07,373.291,28.33,17.311,11.45,230.2,31.0,0.0,39.0,16.0,2018,1,7,7
2018-01-14,456.45,34.48,30.345,28.1,255.525,52.0,6.0,44.0,6.0,2018,1,14,7
2018-01-21,441.074,36.65,19.624,22.5,226.8,49.0,2.0,75.0,9.5,2018,1,21,7
2018-01-28,513.1469999999999,25.83,28.967,27.85,306.5,64.0,0.0,47.0,13.0,2018,1,28,7
2018-02-04,528.745,26.98,38.715,26.55,318.1,64.0,3.0,34.0,17.4,2018,2,4,7
2018-02-11,623.3649999999999,42.18,28.725,31.6,366.95,76.0,0.0,71.25,6.66,2018,2,11,7
2018-02-18,559.39,31.51,43.618,28.7,338.562,62.0,1.0,48.0,6.0,2018,2,18,7
2018-02-25,446.305,29.35,29.305,28.55,229.1,49.0,0.0,70.0,11.0,2018,2,25,7
2018-03-04,543.351,19.33,20.772,33.2,256.549,115.0,16.0,68.0,14.5,2018,3,4,7
2018-03-11,516.628,36.65,29.928,33.75,223.9,91.0,17.0,68.0,16.4,2018,3,11,7
2018-03-18,444.318,31.33,21.538,19.65,207.8,77.0,2.0,61.0,24.0,2018,3,18,7
2018-03-25,444.258,28.01,20.736,25.9,241.112,50.0,3.0,58.0,17.5,2018,3,25,7
2018-04-01,520.894,43.0,27.77,20.3,224.724,117.0,16.0,51.0,21.1,2018,4,1,7
2018-04-08,481.076,38.85,23.301,22.9,209.525,83.0,7.0,60.0,36.5,2018,4,8,7
2018-04-15,432.83799999999997,38.83,22.308,23.5,175.7,64.0,3.0,52.0,53.5,2018,4,15,7
2018-04-22,395.386,29.84,26.671,10.15,211.025,51.0,0.0,28.0,38.7,2018,4,22,7
2018-04-29,442.47499999999997,50.67,25.443,25.05,155.912,60.0,3.0,66.0,56.4,2018,4,29,7
2018-05-06,356.892,29.01,28.895,18.25,136.737,53.0,0.0,26.0,65.0,2018,5,6,7
2018-05-13,416.052,53.82,24.282,25.15,160.8,66.0,4.0,31.0,51.0,2018,5,13,7
2018-05-20,378.176,27.69,24.286,17.0,156.8,59.0,7.0,47.0,39.4,2018,5,20,7
2018-05-27,341.442,31.16,20.346,24.15,135.786,60.0,2.0,31.0,37.0,2018,5,27,7
2018-06-03,379.095,49.17,20.385,16.85,143.05,59.0,4.0,45.0,41.64,2018,6,3,7
2018-06-10,326.643,30.32,26.023,17.45,138.45,61.0,6.0,23.0,24.4,2018,6,10,7
2018-06-17,311.284,31.52,31.195,20.6,124.569,57.0,0.0,16.0,30.4,2018,6,17,7
2018-06-24,330.221,27.51,29.299,20.75,143.062,45.0,3.0,29.0,32.6,2018,6,24,7
2018-07-01,323.152,28.5,23.39,20.0,125.862,66.0,5.0,31.0,23.4,2018,7,1,7
2018-07-08,378.0,30.99,33.31,21.75,136.45,78.0,3.0,41.0,33.5,2018,7,8,7
2018-07-15,382.47299999999996,33.67,31.353,22.65,189.4,62.0,9.0,11.0,23.4,2018,7,15,7
